Region No.,A - Population,,,,,,,,B - Pharmaceutical expenditure (Millions of euros),,,,,,,,C - Gross expenditure per capita,,,,,,,,D - DDD/1000 (Defined daily dose) Person per day,,,,,,,,E - J Class - Spending Per Capita,,,,,,,,F - N Class - Spending Per Capita,,,,,,
,2008_A,2009_A,2010_A,2011_A,2012_A,2013_A,2014_A,,2008_B,2009_B,2010_B,2011_B,2012_B,2013_B,2014_B,,2008_C,2009_C,2010_C,2011_C,2012_C,2013_C,2014_C,,2008_D,2009_D,2010_D,2011_D,2012_D,2013_D,2014_D,,2008_E,2009_E,2010_E,2011_E,2012_E,2013_E,2014_E,,2008_F,2009_F,2010_F,2011_F,2012_F,2013_F,2014_F
Region1,"96,42,406","97,42,676","98,26,141","99,17,714","97,00,881","97,94,525","99,73,397",,"3,370","3,455","3,565","3,606","3,963","4,019","4,069",,60.2,60.4,64.2,53.5,60.6,56.6,54.6,,159.5,135.3,164.1,155,167.5,28.7,29.6,,15.1,14.1,13.1,12.4,11.4,11.5,11.1,,21.7,22.6,24.5,25.2,25.3,24.6,24.2
Region2,"44,01,266","44,32,571","44,46,230","44,57,335","43,57,663","43,74,052","44,36,798",,"1,729","1,778","1,851","1,803","1,871","1,923","1,932",,54.9,57,59.2,49.6,57.1,54.5,53.9,,159,146.3,170.2,158.6,167.9,13.8,13.9,,16.5,15.5,14,12.9,11.3,11.2,10.7,,25.6,26.6,24.8,24.5,24.9,24.7,24.4
Region3,"50,29,683","50,37,799","50,42,992","50,51,075","49,99,854","49,99,932","50,94,937",,"1,948","1,962","2,009","1,958",2179,"2,213","2,194",,84.9,78.2,88.6,77.5,87.4,78.4,68.3,,260.7,230.7,273,264.1,276.6,21.5,19.9,,31.4,30,26.7,25.1,21.3,20.8,19.4,,24.1,25.1,27.1,27,25.8,25,22.4
Region4,"55,61,017","56,26,710","56,81,868","57,28,688","55,00,022","55,57,276","58,70,451",,"2,379","2,381","2,501","2,452","2,617","2,661","2,722",,79,78.6,86.8,70.6,82.5,78.1,75.7,,235,204.3,243.2,225.9,242.7,23.2,23.8,,25.2,23,21,19.9,18,18.4,17.4,,24.1,24.9,27,25.8,25.6,25,24.3
Region5,"40,76,546","40,79,702","40,84,035","40,91,259","40,50,072","40,50,803","40,90,266",,"1,611","1,663","1,723","1,633","1,791","1,847","1,932",,71.9,69.3,79.6,67.7,80.6,77.6,78.7,,234.4,209.2,250.5,230.5,245.2,16.8,17.3,,30.3,29.6,26.7,24.4,21,21.7,21.7,,20.8,22.5,23.1,22.1,23.5,23.4,23.5
Region6,"36,77,048","37,07,818","37,30,130","37,49,813","36,67,780","36,92,828","37,50,511",,"1,504","1,607","1,634","1,652","1,701","1,732","1,766",,47.8,47.2,53.4,43.2,56.2,52.9,52,,163.6,143.1,172.7,153.5,159.1,11,11.2,,18.1,16.9,15.8,14.4,12.2,12.4,11.7,,21.4,21.1,21.9,21.6,20.3,20.1,19.5
Region7,"48,32,340","48,85,548","49,12,438","49,37,854","48,53,657","48,81,756","49,26,818",,"1,704","1,751","1,770","1,744","1,904","1,935","1,976",,54.2,56.2,61,51.4,60,56.3,54.4,,173.1,152.7,180.2,169.6,182.2,15.2,15.3,,14.3,13.3,11.8,11,9.6,9.6,9.3,,19.6,20.4,21.6,21.5,22,21.6,21.4
Region8,"1,25,979","1,27,065","1,27,866","1,28,230","1,26,620","1,27,844","1,28,591",,47,50,50,50,50,52,53,,47.8,50.8,56.9,48.2,57.6,54.2,54.9,,146.9,138.3,160.3,149.8,157.8,0.4,0.4,,14.2,14,12.4,11.2,9.9,10,9.8,,19.6,20.5,22.3,22.8,23.5,23.8,25
Region9,"12,22,061","12,30,936","12,34,079","12,35,808","12,17,780","12,21,860","12,29,363",,476,482,493,493,513,527,526,,55.1,55.7,62.9,52.9,57.8,55.2,54.7,,174.3,152.5,180.1,168.5,176.7,4.1,4.1,,13.3,12.2,11.6,10.7,8.7,8.6,8.2,,19.4,19.9,22.3,23.4,23.2,22.5,22.8
Region10,"16,65,617","16,71,001","16,72,404","16,75,411","16,37,846","16,40,379","16,63,859",,680,706,763,733,774,778,803,,71.9,71.9,79.9,73.9,72.8,87.4,87.6,,236.2,211,250.1,243,258.4,7.2,7.4,,20.4,19.4,17.8,16.4,14.9,14.3,14,,23.9,25.3,27.2,27.5,30.6,27.4,27.2
