ID,Account,Province,Region,Tender_Type,Offer_date,Start_date,End_date_including_extension,Length_of_contract_in_Months,Market,Tender_Standard_Unit_per_year,Winning_price_per_standard_unit,Molecule,Presentation,Winning_Product,Winning_Company,Competitor_with_2nd_Lowest_Price,Competitor_2nd_Lowest_Price_per_standard_unit,Competitor_with_3rd_Lowest_Price,Competitor_3rd_Lowest_Price_per_standard_unit,Competitor_with_4th_Lowest_Price,Competitor_4th_Lowest_Price_per_standard_unit,Competitor_with_5th_Lowest_Price,Competitor_5th_Lowest_Price_per_standard_unit,Competitor_with_6th_Lowest_Price,Competitor_6th_Lowest_Price_per_standard_unit,Competitor_with_7th_Lowest_Price,Competitor_7th_Lowest_Price_per_standard_unit,Competitor_with_8th_Lowest_Price,Competitor_8th_Lowest_Price_per_standard_unit,Competitor_with_9th_Lowest_Price,Competitor_9th_Lowest_Price_per_standard_unit,Competitor_with_10th_Lowest_Price,Competitor_10th_Lowest_Price_per_standard_unit
226,Account95,Provice21,Region6,Tender Type1,10-03-2008 12:00,01-01-2009,31-12-2014,36,Market3,69673,1.56353,Molecule3,Presentation8,Product10,Company1,,,,,,,,,,,,,,,,,,
227,Account95,Provice21,Region6,Tender Type1,4-13-10 12:00 PM,01-05-2010,30-09-2013,20,Market3,56966,1.56353,Molecule3,Presentation8,Product10,Company1,Company1,1.88,Company4,1.94,Company3,1.95,Company2,2.7885,Company5,3,,,,,,,,
232,Account111,Provice15,Region13,Tender Type1,04-12-2010 12:00,01-05-2010,30-06-2012,24,Market3,211912,1.77,Molecule3,Presentation8,Product10,Company1,Company1,1.88,Company4,1.98,Company5,2.16,Company3,2.45,,,,,,,,,,
240,Account91,Provice10,Region9,Tender Type1,05-10-2010 00:00,01-07-2010,30-09-2012,24,Market3,26050,1.77,Molecule3,Presentation8,Product10,Company1,Company4,1.74,Company3,1.75,Company1,2.0655,Company2,2.7885,Company5,4.2,,,,,,,,
242,Account51,Provice32,Region7,Tender Type1,5-19-10 12:00 PM,01-08-2010,31-05-2012,12,Market3,192786,1.5,Molecule3,Presentation8,Product10,Company1,Company3,1.73,Company4,1.8,Company5,2.27,Company1,2.95,,,,,,,,,,
247,Account9,Provice33,Region1,Tender Type1,5-24-10 12:00 PM,01-11-2010,30-04-2014,36,Market3,93142,1.45,Molecule3,Presentation8,Product10,Company1,Company4,1.64,Company3,1.69,Company1,1.865,Company5,2.48,,,,,,,,,,
249,Account104,Provice1,Region1,Tender Type1,04-07-2010 12:00,16-12-2010,16-06-2012,12,Market3,1000500,1.812,Molecule3,Presentation8,Product10,Company1,Company3,1.895,Company4,4.183,,,,,,,,,,,,,,
256,Account26,Provice34,Region12,Tender Type1,05-05-2011 12:00,28-03-2011,27-09-2013,24,Market3,150000,1.31,Molecule3,Presentation8,Product10,Company1,Company5,1.329,Company3,1.4,Company4,1.48,Company6,1.7,Company1,1.77,Company7,3.2,,,,,,
264,Account98,Provice3,Region3,Tender Type1,05-11-2011 13:00,01-06-2011,31-05-2014,36,Market3,3000,1.29485,Molecule3,Presentation8,Product10,Company1,Company5,1.48093,Company3,1.5,Company4,1.58,Company1,1.74541,Company6,2.03704,Company7,2.8,Company8,2.92364,,,,
269,Account74,Provice6,Region5,Tender Type1,1-21-11 1:00 PM,31-10-2011,30-04-2014,36,Market3,30000,1.54,Molecule3,Presentation8,Product10,Company1,Company5,1.7,Company1,,Company6,,Company3,,Company4,,,,,,,,,
